message
Invalid pattern '\u{1D306}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '\[(?P<param>[a-zA-Z0-9_.\-]+)\]$' at offset 5. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '\Q$before_angles\E$' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '\p{' at offset 2. Incomplete \\p{X} character escape.
"Invalid pattern '(?P<before>(.|
)*?)(<ENAMEX ID=""(?P<chain_id>.*?)"" TYPE=""(?P<entity_type>.*?)"">(?P<entity_string>(.|
)*?)</ENAMEX>)?' at offset 3. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^__version__ = \""(?P<major>\d+)\.(?P<minor>\d+)\.(?P<patch>\d+)(?P<tag>.*)?\""$' at offset 20. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\s*([^=\s\pC][^=\pC]*?)\s*=\s*(.*?)\s*$' at offset 13. Malformed \\p{X} character escape.
Invalid pattern '\[\#([a-zA-Z0-9\.\-\_]+)\]' at offset 21. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$target_dir\E' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?P<key>[A-z]+) ?: ?(?P<value>.*)' at offset 3. Unrecognized grouping construct.
"Invalid pattern '([hH][dD][lL]:
                          |https?://hdl\.handle\.net/)
                         (?P<hdl_id>\S+/\S+)' at offset 98. Unrecognized grouping construct."
"Invalid pattern '(?<qr1>[""'])(?<req1>' at offset 20. Not enough )'s."
Invalid pattern '\-|\_' at offset 5. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '([\w\s\.\-\_\:\/\\\""\'\`\#\+\{\}\[\]\;\*]+)\(?([\w\s\.\-\_\:\/\\\""\'\`\#\+\{\}\[\]\;\*]+)?\)?' at offset 12. Unrecognized escape sequence \\_."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern ''(.+?)':((?P<quote>['\""])(.*?)(?P=quote)|\S+)' at offset 12. Unrecognized grouping construct."
Invalid pattern '\{\s*\p{Graph}+\s*\}' at offset 14. Unknown property 'Graph'.
Invalid pattern 'add\s+(?P<name>\w+)\s+(?P<network>.*)\s*' at offset 9. Unrecognized grouping construct.
"Invalid pattern '^(?P<birth>\d{6})/?(?P<id>\d{3,4})$' at offset 4. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^ruby-1\.0\.\d+(-[\w\.]+)?+$' at offset 27. Nested quantifier '+'.
Invalid pattern '^\s*([\w\d\_]+)\s+=\s*'([^']*)'\s*$' at offset 12. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '/[^a-zA-Z0-9\-\_]/g' at offset 16. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\Q$t' at offset 2. Unrecognized escape sequence \\Q.
"Invalid pattern '\s+(?P<key>[a-zA-Z_-]+)=(['""])(?P<value>.*?)(?!\\)\2' at offset 6. Unrecognized grouping construct."
Invalid pattern '([^A-Z\x{c1}\x{c9}\x{cd}\x{d3}\x{da}a-z\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]tr)\.' at offset 9. Insufficient hexadecimal digits.
"Invalid pattern '\\begin{(?P<block_name>exer|proof|thm|lem|prop)} # block name
                                    (\[(?P<block_title>.*?)\])? # Optional block title
                                    (?P<block_contents>.*?) # Non-greedy block contents
                                    \\end{(?P=block_name)}' at offset 11. Unrecognized grouping construct."
Invalid pattern '^--\Q$boundary\E\s*' at offset 5. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '~__EMU__([A-Z]++)__(?:([A-Za-z0-9]++)__)?~' at offset 16. Nested quantifier '+'.
Invalid pattern '(?P<prefix>^| |	)#(?P<ref>[\w\d\._]+)(?P<parens>\(\))?' at offset 3. Unrecognized grouping construct.
Invalid pattern '\$content(\((?P<ctn_type>.*?)\))*(\[(?P<ctn_options>.*?)\])*\{(?P<ctn>.*?)\}' at offset 15. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'lib([a-zA-Z0-9\_\-\.]*?)\.(so|dylib|bundle|a|dll\.a)$' at offset 16. Unrecognized escape sequence \\_.
Invalid pattern '(?P<prefixsize>\d+):(?P<totalsize>\d+)\n(?P<prefixes>.+)' at offset 3. Unrecognized grouping construct.
"Invalid pattern '(?<![<>])(<N pl=""n"" gnt=""n"" gnd=""f"">(?:R\x{f3}imh|R\x{f3}m\x{e1}in|R\x{fa}is)<\/N>)(?![<>])' at offset 43. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '\s*;\s*(?P<value>.*)' at offset 10. Unrecognized grouping construct.
Invalid pattern '\Q...' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '^[a-z0-9\-\_\.\+\@]+$' at offset 12. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(\t| )+Has latency\:(\t| )+(.*+)' at offset 32. Nested quantifier '+'.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Ii])<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(l\x{e1}thair)<\/[A-DF-Z]>' at offset 68. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[a-z]\K([A-Z])' at offset 7. Unrecognized escape sequence \\K.
"Invalid pattern '(?<![<>])(<V cop=""y"">[Cc]\x{e1}rbh<\/V> <[A-DF-Z][^>]*>[Bb]'[^<]+<\/[A-DF-Z]>)(?![<>])' at offset 28. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '^to_(' at offset 5. Not enough )'s.
Invalid pattern '\A\p{PerlSpace}+' at offset 15. Unknown property 'PerlSpace'.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$remove' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'meas\_([0-9]+)$' at offset 6. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<E[^>]*><S>[Ll]eis<\/S> <T>an<\/T> (?:<N[^>]*pl=""n"" gnt=""n"" gnd=""m""[^>]*>(?:[CcDdFfGgMmPpSsTt][Hh]|[Bb]h[^fF])[^<]+<\/N>) (?:<A[^>]*>(?:[^<]+th?[ae]|c\x{e9}ad|cib\x{e9}|cos\x{fa}il|deich|dh\x{e1}|[Gg]ach|seacht|[Ss]eo|[Ss]in|tr\x{ed}|\x{fa}d|uile|[^<]+ [^<]+)<\/A>)<\/E>)' at offset 154. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '([^A-Z\x{c1}\x{c9}\x{cd}\x{d3}\x{da}a-z\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}0-9-][0-9][0-9])([.?!])' at offset 9. Insufficient hexadecimal digits.
Invalid pattern '#ifndef SWIG(?P<code>.*)#endif(\s*//\s*!?\s*SWIG)*' at offset 15. Unrecognized grouping construct.
Invalid pattern '(?P<class>\S.*\s+)?(?P<src>(?:https?:\/\/|\/|\S+\/)\S+)(?:\s+(?P<width>\d+))?(?:\s+(?P<height>\d+))?(?P<title>\s+.+)?' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '<iframe[^>]+src=""https?://(?P<host>media\.clipyou\.ru)/index/player\?.*\brecord_id=(?P<id>\d+).*""' at offset 29. Unrecognized grouping construct."
Invalid pattern '^[a-zA-Z0-9\.\-\_]+\:callback$' at offset 17. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
"Invalid pattern '(*UTF8){{.*}},' at offset 2. Quantifier {x,y} following nothing."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern ' at \Q$0\E line \d+\n' at offset 6. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '^__\U$sec\E__$' at offset 5. Unrecognized escape sequence \\U.
Invalid pattern '(?=\P{sc=Kana})\p{scx=Kana}' at offset 9. Incomplete \\p{X} character escape.
Object reference not set to an instance of an object.
Invalid pattern '(?:\bon\s+)?(?:the\s+)?((?:(?:1st|2nd|3rd|4th|5th)\s+' at offset 53. Not enough )'s.
"Invalid pattern '^\^(?:\d{1,3}\.){4}in-addr.arpa:(?:[\w\-]+\.)*\Q$zone\E' at offset 48. Unrecognized escape sequence \\Q."
Invalid pattern '([^a-zA-Z0-9\-\_\.\!\~\*\'\(\)\/])' at offset 16. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<S>[Tt]har<\/S> <N pl=""n"" gnt=""n"" gnd=""f"">bhr\x{e1}id<\/N>)(?![<>])' at offset 58. Insufficient hexadecimal digits."
Invalid pattern '(?<=\pL)(\p{Lu})' at offset 7. Malformed \\p{X} character escape.
Invalid pattern '([^A-Z\x{c1}\x{c9}\x{cd}\x{d3}\x{da}a-z\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]op)\.' at offset 9. Insufficient hexadecimal digits.
Invalid pattern '<(?P<tag>[a-z0-9-_]+)>(?P<text>.*?)<\/(\1)>' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern 'preview|rc\d?+' at offset 14. Nested quantifier '+'.
Invalid pattern 'diff rules[^]*foo[^]*bar[^]*test-rule[^]*foo-config[^]*bar-config' at offset 65. Unterminated [] set.
"Invalid pattern '\s*\[.*application_[_\d]+.*""RUNNING"".*width:(?P<percent>\d{1,3}.\d)%.*\]' at offset 47. Unrecognized grouping construct."
Object reference not set to an instance of an object.
"Invalid pattern '\<(?P<link>.*)\>\; rel\=\""(?P<rel>.*)\""' at offset 5. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '^\s*(?P<part_prefix>\D+)(?P<range_start>\d+)\s*[-:]\s*\1(?P<range_end>\d+)\s*$' at offset 7. Unrecognized grouping construct.
Invalid pattern '\u{12345}{3}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<name>[A-Za-z0-9]+)$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '\_(.)' at offset 2. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '((?:<[\/A-DF-Z][^>]*>)+(?:[Cc]ois|[Dd]\x{e1}la|[Ff]earacht|[Tt]impeall|[Tt]rasna)<\/[A-DF-Z]> <T>an<\/T> )<B><Z>(?:<[^>]+>)*<N pl=""n"" gnt=""y"" gnd=""m"".>(?:<[^>]+>)*<\/Z>([^<]+)<\/B>()' at offset 41. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<N pl=""n"" gnt=""y"" gnd=""f"">b?[Pp]h?\x{f3}ire<\/N>)(?![<>])' at offset 47. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\Q-std=c99\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '/(?P<height>\d+)\.mp4' at offset 4. Unrecognized grouping construct.
Invalid pattern 'https://www\.wattpad\.com/story/(?P<storyId>\d+).*' at offset 35. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$fio->{localDir}' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(.*)\\[([0-9]+)\\]' at offset 15. Too many )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'gpu(?P<negate>!)?(?P<start>[0-9]+)(?:-(?P<end>[0-9]+))?' at offset 6. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\P{InBasic_Latin}' at offset 17. Unknown property 'InBasic_Latin'.
Object reference not set to an instance of an object.
Invalid pattern 'abak\-flow\.([\w\d\-\_]+)' at offset 22. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\x{00d0}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^T_([0-9\_]+)\.[spo]+' at offset 10. Unrecognized escape sequence \\_.
Invalid pattern '\x{064A}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '[^a-z0-9\-\_\.\:]' at offset 12. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\__root__\.lol' at offset 2. Unrecognized escape sequence \\_.
Invalid pattern '<(?:' at offset 4. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[^a-zA-Z\d\_\-\.\/]' at offset 12. Unrecognized escape sequence \\_.
Invalid pattern '%(?:\((?P<key>.*?)\))?(?P<modifiers>[-#0-9 +*.hlL]*?)[eEfFgGdiouxXcrs%]' at offset 9. Unrecognized grouping construct.
"Invalid pattern 'ip=(?P<host>.*),port=(?P<port>\d+)' at offset 6. Unrecognized grouping construct."
"Invalid pattern '(?<![<>])(<N pl=""n"" gnt=""n"" gnd=""m"">[Mm]h?\x{fa}nadh<\/N>)(?![<>])' at offset 45. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '^(\d+)\s+\Q$Option{path}\E$' at offset 11. Unrecognized escape sequence \\Q.
"Invalid pattern '(?<![<>])(<T>[Nn]a<\/T> (?:<N[^>]*pl=""y"" gnt=""y""[^>]*>(?:[aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}cfptCFPT]|[Dd][^Tt']|[Gg][^Cc]|[Bb][^Pph]|[Bb]h[^fF])[^<]*<\/N>))(?![<>])' at offset 71. Insufficient hexadecimal digits."
Invalid pattern '^ ([\w\\\/.]+) (\( ( (?>[^()]+) | (?2) )* \))? (?:\@(.+))? $' at offset 37. Unrecognized grouping construct.
"Invalid pattern '\Aproducts\/([\w\-\_]+)\.(\w{2,4})' at offset 20. Unrecognized escape sequence \\_."
Object reference not set to an instance of an object.
"Invalid pattern ';   # of the newest release

our $add_change     : Getopt(ac=s' at offset 62. Not enough )'s."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(\d+)(?|??|?)?' at offset 8. Unrecognized grouping construct.
"Invalid pattern '\\(?<_1>x\h{2}|[0-2][0-7]{,2}|3[0-6][0-7]|37[0-7]?|[4-7][0-7]?|.)' at offset 11. Unrecognized escape sequence \\h."
Invalid pattern '.+?(?=\\)(.*)\Http' at offset 15. Unrecognized escape sequence \\H.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'clang(?P<major>(\d))?(?P<minor>(\d))?' at offset 8. Unrecognized grouping construct.
Invalid pattern '(???(?))' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\.\Q$domain\E$' at offset 4. Unrecognized escape sequence \\Q.
"Invalid pattern 'url\(([""']?)(?P<url>.*?)(\1)\)' at offset 15. Unrecognized grouping construct."
Invalid pattern '(?<![<>])(<S>[Ii]<\/S> (?:<V[^>]*>g[Cc]l\x{f3}dh<\/V>))(?![<>])' at offset 43. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern ' (?=[hfnmg]) 
			(?:http|file|ftp|news|mailto|gopher) 
			:// 
                        [\w\d\.\%\_\/\:\-]+ 
                        (?<!\.) \.$ 
                      ' at offset 98. Unrecognized escape sequence \\_."
Object reference not set to an instance of an object.
Invalid pattern '\xA' at offset 2. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
